study,wave,versn_s,studytit,uniqid,intrvwr_id,cntry,cntrycow,year,fw_start,fw_end,cntry_y,mode,mm_mixed_mode_EVS5,mm_mode_fu_EVS5,mm_matrix_group_EVS5,mm_fw_start_fu_EVS5,mm_fw_end_fu_EVS5,mm_year_fu_EVS5,ivlength,ivstart,ivstend,ivdate,mm_v277_fu_EVS5,mm_v278a_fu_r_EVS5,mm_v279a_fu_r_EVS5,lnge_num,gwght,pwght,wght_eq1000,reg_iso,size_5c,respint,A001,A002,A003,A004,A005,A006,A008,A009,A170,A173,A027,A029,A030,A032,A034,A035,A038,A039,A040,A041,A042,A065,A066,A067,A068,A071,A072,A074,A078,A079,A080_01,A080_02,A124_02,A124_03,A124_06,A124_08,A124_09,A165,B008,C001,C001_01,C002,C002_01,D081,D026_03,D026_05,C038,C039,C041,D001_B,G007_18_B,G007_33_B,G007_34_B,G007_35_B,G007_36_B,D054,D059,D060,D061,D078,E001,E002,E003,E004,Y002,E012,E015,E018,E023,E025,E026,E027,E028,E033,E035,E036,E037,E039,E069_01,E069_02,E069_04,E069_05,E069_06,E069_07,E069_08,E069_18A,E069_18,E069_11,E069_12,E069_13,E069_14,E069_17,E069_20,E111_01,E114,E115,E116,E117,E179_WVS7,E181_EVS5,E224,E225,E226,E227,E228,E229,E233,E233A,E233B,E235,E236,E263,E264,E265_01,E265_02,E265_03,E265_04,E265_05,E265_06,E265_07,E265_08,F025,F028,F028B_WVS7,F066_EVS5,F034,F050,F051,F053,F054,F063,F114A,F115,F116,F117,F118,F119,F120,F121,F122,F123,F132,E290,F144_02,G005,G006,G052,G062,G063,G255,G256,G257,H009,H010,H011,X001,X002,X003,X003R,X003R2,G027A,X002_02A,V002,V002A,V001,V001A,X007,x026_01,X011,X013,X025A_01,X025R,W002A_01,W002R,V004AM_01,V004RM,V004AF_01,V004RF,X028,W003,X052,X035_EVS5,X036E_WVS7,V097EF,W005_EVS5,W006E_WVS7,X047_WVS7,X047E_EVS5
2,7,2024,0,840720011,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,40,16.2,17.0,20170501,-4,-4.0,-4.0,128,2.172099061,10.6132138674884,0.385208,840013,3,1,1,1,1,2,4,3,1,1,8,8,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,-4,1,-4,3,4,3,3,3,2,1,2,1,2,2,2,2,3,2,3,3,1,2,1,2,2,0,3,1,2,1,2,2,2,5,6,3,7,1,3,2,2,2,2,3,2,3,-4,3,3,2,2,3,2,4,3,3,4,2,840002,-4,7,1,10,5,1,5,10,5,10,10,8,1,1,1,3,3,3,2,2,2,3,1,7,7,-4,1,1,1,1,1,6,1,1,1,1,5,5,5,5,9,5,1,1,9,1,2,3,2,2,2,2,1,2,4,4,1,1949,68,6,3,1,840,1,840,1,840,1,1,2,2,5,3,4,2,3,2,3,2,4,4,2,-4,-3,3,-4,-3,7,-4
2,7,2024,0,840720012,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,48,20.2,21.08,20170501,-4,-4.0,-4.0,128,1.399468479,10.6132138674884,0.385208,840046,-5,2,1,2,2,2,4,2,2,2,9,9,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,2,-4,1,-4,4,5,2,1,3,2,1,2,1,2,2,2,2,3,3,3,2,2,1,2,1,2,1,3,1,1,1,1,3,3,8,10,1,1,1,3,1,4,4,1,3,3,3,-4,2,4,2,3,2,4,3,3,2,3,1,840001,-4,1,1,10,5,4,9,10,1,6,10,9,2,1,1,4,4,3,4,2,3,3,0,8,3,-4,1,1,1,1,1,6,5,1,1,1,9,5,3,10,10,5,10,1,10,1,1,3,3,4,1,1,1,1,4,1,1,1959,58,5,3,1,840,1,840,1,840,1,1,2,5,6,3,3,2,6,3,2,1,8,1,2,-4,-3,4,-4,4,6,-4
2,7,2024,0,840720013,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,28,8.36,9.04,20170504,-4,-4.0,-4.0,128,0.491181387,10.6132138674884,0.385208,840018,-5,2,1,2,2,3,2,3,2,2,9,9,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,2,1,2,-4,1,-4,1,5,3,4,2,4,1,2,1,3,2,2,2,2,4,4,3,1,2,1,2,2,0,2,1,2,1,2,2,2,6,6,4,6,4,3,2,3,3,2,3,2,3,-4,2,3,3,2,2,2,7,3,2,3,2,840001,-4,5,2,5,5,2,6,8,3,6,8,8,2,1,1,3,2,2,2,1,2,3,1,7,5,-4,2,1,1,1,1,3,5,3,2,2,9,2,5,8,8,5,7,2,6,1,2,4,3,2,2,3,2,2,3,2,2,1997,20,1,1,1,840,1,840,1,840,1,1,0,2,6,3,8,3,6,3,6,3,2,1,2,-4,1,1,-4,1,4,-4
2,7,2024,0,840720014,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,-5,21.5,22.59,20170503,-4,-4.0,-4.0,128,1.004024564,10.6132138674884,0.385208,840010,-5,3,1,1,3,4,1,2,2,3,10,10,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,-4,1,-4,1,4,4,4,3,4,2,3,2,3,2,2,2,3,3,3,3,2,1,3,1,1,1,2,1,4,1,3,3,3,5,5,5,4,5,3,1,3,2,1,3,3,3,-4,3,3,3,3,1,3,5,1,2,2,2,5,-4,7,5,5,6,5,5,3,3,5,6,5,3,3,1,2,1,3,3,3,1,4,1,8,5,-4,2,1,1,1,1,7,10,9,1,1,5,1,5,4,2,1,7,1,7,1,1,3,3,2,1,1,1,1,4,4,2,1973,44,3,2,1,840,1,840,1,840,1,1,2,2,3,2,5,3,3,2,3,2,5,1,3,-4,-3,-1,-4,-1,5,-4
2,7,2024,0,840720015,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,50,8.33,9.24,20170502,-4,-4.0,-4.0,128,2.662470976,10.6132138674884,0.385208,840038,-5,2,1,2,3,2,2,3,2,4,6,5,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,2,1,2,-4,1,-4,3,4,3,3,2,3,1,1,2,2,2,2,2,3,3,4,3,3,2,2,3,2,1,2,1,2,2,2,2,2,10,3,5,3,6,2,2,3,3,3,3,2,2,-4,2,3,3,3,3,2,5,2,3,3,1,840001,-4,5,2,9,5,6,8,9,5,6,9,5,2,2,2,3,2,3,3,2,3,3,0,7,2,-4,1,1,1,1,1,7,8,8,1,1,5,3,6,6,3,2,3,1,7,1,1,3,2,3,1,2,1,2,3,2,1,1959,58,5,3,1,840,1,840,1,840,1,1,2,2,3,2,-2,-2,3,2,3,2,2,1,2,-4,6,6,-4,3,5,-4
2,7,2024,0,840720016,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,51,17.45,18.36,20170503,-4,-4.0,-4.0,128,1.437592347,10.6132138674884,0.385208,840035,3,3,1,1,2,3,2,3,2,2,9,10,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,-4,1,-4,1,3,5,2,2,2,1,2,1,3,3,3,2,2,4,2,4,2,3,1,2,2,1,2,1,3,1,2,2,2,6,1,5,1,4,2,2,4,3,2,3,3,3,-4,3,3,3,3,3,3,7,-2,-2,-2,-2,-2,-4,7,-2,6,9,7,7,-2,6,-2,8,9,2,2,3,2,1,2,3,3,2,-2,0,8,2,-4,2,1,1,1,1,8,1,1,1,1,10,3,8,10,6,4,6,3,9,1,1,3,2,3,1,1,2,1,3,3,2,1970,47,4,2,1,840,1,840,1,840,1,1,2,4,4,2,3,2,3,2,3,2,1,1,-2,-4,4,7,-4,3,-2,-4
2,7,2024,0,840720017,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,39,12.39,13.19,20170501,-4,-4.0,-4.0,128,0.434109866,10.6132138674884,0.385208,840013,3,2,1,2,2,2,4,3,2,2,8,10,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,2,2,2,-4,3,-4,3,4,4,4,4,4,2,2,2,3,2,2,2,3,3,3,3,1,2,1,4,2,1,2,1,2,1,3,3,3,9,8,2,3,1,3,2,4,3,1,3,2,3,-4,2,3,2,2,2,2,7,4,4,4,1,840001,-4,3,1,10,4,4,10,10,1,8,10,9,1,1,1,4,3,3,4,1,4,3,1,3,3,-4,1,1,1,0,0,7,1,3,2,1,5,5,5,7,2,2,8,2,8,1,1,4,1,3,3,3,1,2,2,3,1,1962,55,5,3,1,840,1,840,1,840,1,1,2,4,6,3,5,3,5,3,6,3,4,5,2,-4,-3,2,-4,-3,8,-4
2,7,2024,0,840720018,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,54,16.21,17.15,20170501,-4,-4.0,-4.0,128,1.055818398,10.6132138674884,0.385208,840021,3,2,1,2,1,3,2,3,2,2,8,7,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,-4,3,-4,1,4,2,4,2,4,1,2,2,2,2,2,1,4,4,3,4,2,1,1,3,1,0,1,1,3,1,2,2,-2,6,4,5,7,2,2,1,2,2,1,1,1,2,-4,1,1,2,1,1,2,6,3,1,3,2,840002,-4,10,1,10,3,8,3,10,2,10,8,7,3,2,1,3,3,3,2,1,3,4,1,8,3,-4,1,1,1,0,0,6,1,1,1,1,10,2,6,5,8,4,4,1,7,1,1,2,3,3,2,2,2,2,3,2,2,1989,28,2,1,1,840,1,840,1,840,6,1,0,1,6,3,-3,-3,5,3,7,3,1,-3,1,-4,1,1,-4,-3,6,-4
2,7,2024,0,840720019,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,42,20.06,20.48,20170501,-4,-4.0,-4.0,128,1.693170388,10.6132138674884,0.385208,840035,3,2,1,1,2,3,3,1,2,4,7,9,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,-4,1,-4,5,4,2,2,2,2,1,2,2,3,2,2,1,2,3,3,3,2,3,1,4,2,1,3,1,2,1,2,3,2,7,4,2,5,2,1,1,3,3,1,3,2,2,-4,2,3,2,2,2,2,6,1,2,3,2,840001,-4,6,5,6,4,6,6,6,5,6,7,4,2,1,2,2,2,2,2,2,2,3,1,2,1,-4,1,1,1,1,1,10,2,1,2,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,2,4,3,1,1959,58,5,3,1,840,1,840,1,840,1,1,2,2,3,2,-2,-2,-1,-1,-1,-1,8,2,2,-4,-3,6,-4,8,4,-4
2,7,2024,0,840720020,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,-5,-5.0,-5.0,20170503,-4,-4.0,-4.0,128,0.632795251,10.6132138674884,0.385208,840035,3,2,1,1,1,2,2,2,2,2,9,8,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2,1,2,-4,1,-4,2,5,2,2,1,2,1,3,2,2,2,3,2,2,3,2,2,1,3,3,2,2,0,2,2,2,2,2,2,2,3,5,4,4,3,2,2,2,3,1,3,2,2,-4,3,4,2,1,1,1,4,3,2,4,1,840002,-4,7,3,10,6,1,10,10,1,4,8,7,1,1,1,2,3,4,2,2,4,3,1,4,3,-4,1,1,1,1,1,6,2,2,2,1,10,4,3,7,1,1,3,2,7,1,3,4,3,2,2,3,4,3,4,4,1,1999,18,1,1,1,840,1,840,1,840,6,2,0,4,3,2,-3,-3,5,3,5,3,2,-3,2,-4,5,6,-4,-3,6,-4
2,7,2024,0,840720021,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,53,16.44,17.37,20170501,-4,-4.0,-4.0,128,0.795735246,10.6132138674884,0.385208,840038,-5,2,1,1,2,1,2,2,2,3,5,7,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,2,3,3,-4,2,-4,3,3,3,2,2,2,1,2,1,2,2,2,2,4,4,2,4,1,2,3,2,2,1,3,2,1,2,2,1,2,2,5,5,8,4,2,2,3,3,2,3,3,3,-4,4,3,3,2,2,2,1,1,2,4,1,840002,-4,4,1,2,3,1,2,10,3,4,10,3,4,4,1,-2,2,2,3,1,2,4,5,2,1,-4,1,1,1,1,1,10,1,1,1,1,7,1,5,8,8,6,1,1,8,0,2,4,3,3,2,3,2,1,2,4,2,1980,37,3,2,2,356,-1,356,-1,356,1,1,2,4,8,3,8,3,3,2,7,3,7,1,1,-4,-3,1,-4,1,6,-4
2,7,2024,0,840720022,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,34,16.08,16.42,20170516,-4,-4.0,-4.0,128,0.281448557,10.6132138674884,0.385208,840033,4,2,1,1,1,4,2,2,1,2,9,9,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,1,2,-4,2,-4,2,3,3,3,1,4,2,2,2,2,2,2,3,3,3,3,3,3,1,3,4,2,0,1,2,4,1,2,2,3,5,7,1,1,1,3,3,4,4,2,4,4,2,-4,3,4,3,2,2,1,3,4,2,4,3,840002,-4,1,1,10,1,1,1,10,1,1,3,5,3,1,2,3,2,2,4,2,2,4,0,8,1,-4,2,1,1,0,0,10,1,4,5,5,10,10,10,10,6,1,7,1,8,1,3,4,2,2,2,2,2,3,4,4,2,1991,26,2,1,1,840,1,840,1,840,2,1,0,2,6,3,-1,-1,3,2,3,2,1,2,2,-4,5,5,-4,-3,4,-4
2,7,2024,0,840720023,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,29,23.0,23.29,20170511,-4,-4.0,-4.0,128,1.225215762,10.6132138674884,0.385208,840006,4,1,1,1,2,1,1,1,1,1,10,10,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,2,3,2,-4,2,-4,1,3,3,3,2,2,1,2,2,2,1,1,3,4,4,4,4,3,1,4,2,3,1,2,3,1,1,1,1,2,2,1,7,10,3,3,2,2,2,2,4,2,3,-4,4,3,4,1,2,2,1,4,2,4,1,840002,-4,7,1,8,8,3,10,10,2,2,10,3,1,1,2,3,3,4,2,2,1,3,4,3,3,-4,1,1,1,0,0,7,3,1,1,1,10,6,6,7,4,2,4,6,6,1,1,5,1,1,1,1,1,3,4,4,1,1958,59,5,3,1,840,1,840,1,840,1,1,1,2,8,3,8,3,7,3,8,3,1,3,1,-4,1,1,-4,1,7,-4
2,7,2024,0,840720024,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,40,15.48,16.29,20170509,-4,-4.0,-4.0,128,1.083349101,10.6132138674884,0.385208,840022,3,2,1,2,3,3,1,1,2,2,8,10,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,-1,-1,-1,-1,-1,1,1,3,-4,1,-4,2,4,4,3,3,4,1,2,1,2,2,2,2,3,3,3,3,2,3,2,1,2,0,2,1,3,1,2,2,2,5,4,4,4,5,2,1,3,2,1,3,3,2,-4,3,3,3,2,1,2,2,2,2,4,2,-2,-4,8,5,9,7,7,5,8,3,5,8,2,3,3,1,3,2,1,3,2,1,3,8,7,1,-4,1,1,-2,-2,1,10,1,1,2,1,5,5,5,5,5,5,1,1,5,1,2,3,2,3,1,1,1,1,4,3,2,1963,54,4,3,1,840,1,840,1,840,1,1,3,2,3,2,2,1,3,2,2,1,3,3,2,-4,4,4,-4,4,6,-4
